Sequence,Tracker,Experiment,FPS
Basketball,CSRT,Baseline,7.8941954124047236
Basketball,KCF,Baseline,117.9022523469306
Basketball,MEDIANFLOW,Baseline,135.40341517908033
Basketball,MIL,Baseline,8.995210211743405
Basketball,CSRT,Occlusion,10.052485367068263
Basketball,KCF,Occlusion,99.73711377485314
Basketball,MEDIANFLOW,Occlusion,167.0975652336089
Basketball,MIL,Occlusion,9.678620766087366
Basketball,CSRT,Noise,9.974357723127142
Basketball,KCF,Noise,101.34765801276535
Basketball,MEDIANFLOW,Noise,158.93698248545385
Basketball,MIL,Noise,9.310093581909445
BlurBody,CSRT,Baseline,6.309899780382311
BlurBody,KCF,Baseline,42.15368981293165
BlurBody,MEDIANFLOW,Baseline,121.95954094588326
BlurBody,MIL,Baseline,10.273544783629445
BlurBody,CSRT,Occlusion,7.247723753389839
BlurBody,KCF,Occlusion,32.44242532763688
BlurBody,MEDIANFLOW,Occlusion,123.96671679382517
BlurBody,MIL,Occlusion,8.339645839400879
BlurBody,CSRT,Noise,20.631184521020486
BlurBody,KCF,Noise,30.888230930513288
BlurBody,MEDIANFLOW,Noise,86.8194062072669
BlurBody,MIL,Noise,9.13257733487456
CarDark,CSRT,Baseline,8.818880223635423
CarDark,KCF,Baseline,185.91085273765881
CarDark,MEDIANFLOW,Baseline,314.34843680274
CarDark,MIL,Baseline,9.366962651761597
CarDark,CSRT,Occlusion,11.170121133118313
CarDark,KCF,Occlusion,188.11373592181025
CarDark,MEDIANFLOW,Occlusion,302.5473511253835
CarDark,MIL,Occlusion,9.60082362594028
CarDark,CSRT,Noise,10.63390977752733
CarDark,KCF,Noise,206.71722168770674
CarDark,MEDIANFLOW,Noise,242.572153731709
CarDark,MIL,Noise,9.395445932769773
FaceOcc2,CSRT,Baseline,8.349575625970651
FaceOcc2,KCF,Baseline,85.91688210584444
FaceOcc2,MEDIANFLOW,Baseline,375.3205310376216
FaceOcc2,MIL,Baseline,3.2724579889145873
FaceOcc2,CSRT,Occlusion,3.832473640813898
FaceOcc2,KCF,Occlusion,40.772694940604886
FaceOcc2,MEDIANFLOW,Occlusion,145.3614861006282
FaceOcc2,MIL,Occlusion,5.4243651543822144
FaceOcc2,CSRT,Noise,7.538167718449654
FaceOcc2,KCF,Noise,46.6019882631031
FaceOcc2,MEDIANFLOW,Noise,208.48541846205944
FaceOcc2,MIL,Noise,6.180335358890994
Girl2,CSRT,Baseline,6.022882007306292
Girl2,KCF,Baseline,58.94404326904348
Girl2,MEDIANFLOW,Baseline,115.00109947778918
Girl2,MIL,Baseline,8.391289095184609
Girl2,CSRT,Occlusion,9.488600820638274
Girl2,KCF,Occlusion,76.77942832431286
Girl2,MEDIANFLOW,Occlusion,131.58934350398593
Girl2,MIL,Occlusion,9.067985003178933
Girl2,CSRT,Noise,10.238382039018044
Girl2,KCF,Noise,74.79964190557888
Girl2,MEDIANFLOW,Noise,138.79618708996486
Girl2,MIL,Noise,9.168085793004005
Jogging,CSRT,Baseline,8.576939658765577
Jogging,KCF,Baseline,115.34129738201099
Jogging,MEDIANFLOW,Baseline,335.37923039316934
Jogging,MIL,Baseline,9.777523938792163
Jogging,CSRT,Occlusion,10.83573546049068
Jogging,KCF,Occlusion,115.22140921011517
Jogging,MEDIANFLOW,Occlusion,310.71302563449194
Jogging,MIL,Occlusion,10.827185417173173
Jogging,CSRT,Noise,10.856979582541998
Jogging,KCF,Noise,92.45094648232643
Jogging,MEDIANFLOW,Noise,177.89721167321713
Jogging,MIL,Noise,10.911309327212148
Subway,CSRT,Baseline,10.48330436083422
Subway,KCF,Baseline,154.11726466984194
Subway,MEDIANFLOW,Baseline,225.35634700796234
Subway,MIL,Baseline,10.540420361332364
Subway,CSRT,Occlusion,14.629815557696602
Subway,KCF,Occlusion,199.0258621320783
Subway,MEDIANFLOW,Occlusion,275.9461358498709
Subway,MIL,Occlusion,9.596738064648392
Subway,CSRT,Noise,14.429959327351362
Subway,KCF,Noise,125.52090521041163
Subway,MEDIANFLOW,Noise,148.8238104082134
Subway,MIL,Noise,9.929274653145164
Walking2,CSRT,Baseline,8.61685345468972
Walking2,KCF,Baseline,63.90952651623428
Walking2,MEDIANFLOW,Baseline,246.24977734034525
Walking2,MIL,Baseline,9.05035203857178
Walking2,CSRT,Occlusion,10.794515360951568
Walking2,KCF,Occlusion,77.37207259520069
Walking2,MEDIANFLOW,Occlusion,219.1192046413544
Walking2,MIL,Occlusion,9.173752005218468
Walking2,CSRT,Noise,10.48498290549196
Walking2,KCF,Noise,92.60060843506997
Walking2,MEDIANFLOW,Noise,213.12206273383165
Walking2,MIL,Noise,8.60468075805247
Woman,CSRT,Baseline,7.9850836311240245
Woman,KCF,Baseline,149.66747025283706
Woman,MEDIANFLOW,Baseline,351.7647154350708
Woman,MIL,Baseline,10.63638813705548
Woman,CSRT,Occlusion,9.852683108473995
Woman,KCF,Occlusion,155.60223065537323
Woman,MEDIANFLOW,Occlusion,322.9045486737441
Woman,MIL,Occlusion,11.455439705179742
Woman,CSRT,Noise,40.318244463413485
Woman,KCF,Noise,136.9253808470335
Woman,MEDIANFLOW,Noise,287.7218455383801
Woman,MIL,Noise,11.045939560311874
